,for_summing_by_experiments,RefID,PDF_retrieved,Reviewer,Approach_goal,Continent,Country_Province,Climate,study_location,Water_body,Primary_Threat_Identity,Salt_Iontype_Conductivity,State_Region,Physiographic_region,paper_focal_taxa,Taxonomic_classification,Specific_taxa,Level_ecological_organization,specific_response_metric,X20,Broader_response_categories,direction_effect,mean_control,mean_treatment,Life_stage,Units_response,background_concentration,Minimum_concentration_original,Maximum_concentration_original,Units_salt_concentration_original,Acute_Chronic,Duration_exposure,stats_direction_effect,Statistical_Analysis,mean_control_1,mean_treatment_1,Beta_estimate,standard_deviation,lower_CI,upper_CI,standard_error_beta,Correlation_Regression,p_values,Raw_values_response,Rate of change in salt (if applicaple),"Timing of exposure (e.g., season (winter, summer...), continuous)",Frequency_of_exposure,number_treatments_categories,number_replicates,number_per_replicate,Temperature,Notes on effect,Take home point,Author,Year,Paper Title,Journal,Extra notes,DataID,Measurement,SaltUnits,Min_Conductivity_uScm,Max_Conductivity_uScm,Min_Concentration_ppm,Max_Concentration_ppm
22,1,199,Yes,Carl,Investigate response by 4 bivalves (3 native + zebra mussel) to water K levels,Eurasia,Russia,temperate (cold),Lab,aquaria,invasiveness/osmoregulation,potassium,Yaroslavl Oblast,Rybinsk Reservoir,Mollusk,Mollusca,Unio tumidus,Individual,Muscle concentrations Na,body tissue diagnostics,Body condition/Diagnostics,who knows (positive),13.1,18.3,Adult,mmol/kg wet weight,0.13,0.13,2.2,mmol K/L,chronic,14,positive,ANOVA,13.1,18.3,NA,NA,NA,NA,NA,NA,NA,Raising water K+ from 0.13 to 0.9 mmol/L caused muscle Na to increase from 13.1 to 14.3 mmol/kg. Raising K+ still further to 2.2 mmol/L caused muscle Na to increase further to 18.3 mmol/kg,NA,NA,constant,3,1,8,20,Muscle concentrations did not differ statistically among treatment levels (p<0.05),"In comparison to aboriginal species, D. polymorpha is more sensitive to the environmental potassium concentration",V. I. Martemyanov,2011,"INFLUENCE OF ENVIRONMENT MINERAL COMPOSITION ON THE INDICES OF WATER-SALT METABOLISM IN ESTABLISHED IN RYBINSK RESERVOIR, DREISSENA POLYMORPHA",Russian Journal of Biological Invasions,NA,1472,K+,mmol/L,NA,NA,5.0817,85.998
23,1,199,Yes,Carl,Investigate response by 4 bivalves (3 native + zebra mussel) to water K levels,Eurasia,Russia,temperate (cold),Lab,aquaria,invasiveness/osmoregulation,potassium,Yaroslavl Oblast,Rybinsk Reservoir,Mollusk,Mollusca,Unio pictorum,Individual,Hemolymph concentrations Na,osmoregulation,Solute uptake/internal chemistry,humped,21.2,12.6,Adult,mmol/L,0.13,0.13,2.2,mmol K/L,chronic,14,humped,ANOVA,21.2,12.6,NA,NA,NA,NA,NA,NA,NA,Raising water K+ from 0.13 to 0.9 mmol/L caused hemolymph Na to increase from 20.5 to 23 mmol/L. Raising K+ still further to 2.2 mmol/L caused hemolymph Na to decrease to 10.9 mmol/L,NA,NA,constant,3,1,8,20,"Animals were able to maintain internal chemistry in ""freshwater"" spiked with a low level of KCl (increase from 0.13 t- 0.9 mmol/L K+) ; but spiking to a higher K+ concentration (2.2 mmol/L) caused the animals to lose that ability although without perishing like the invasive mussel.","In comparison to aboriginal species, D. polymorpha is more sensitive to the environmental potassium concentration",V. I. Martemyanov,2011,"INFLUENCE OF ENVIRONMENT MINERAL COMPOSITION ON THE INDICES OF WATER-SALT METABOLISM IN ESTABLISHED IN RYBINSK RESERVOIR, DREISSENA POLYMORPHA",Russian Journal of Biological Invasions,NA,1473,K+,mmol/L,NA,NA,5.0817,85.998
24,1,199,Yes,Carl,Investigate response by 4 bivalves (3 native + zebra mussel) to water K levels,Eurasia,Russia,temperate (cold),Lab,aquaria,invasiveness/osmoregulation,potassium,Yaroslavl Oblast,Rybinsk Reservoir,Mollusk,Mollusca,Unio tumidus,Individual,Hemolymph concentrations Na,osmoregulation,Solute uptake/internal chemistry,humped,20.5,10.9,Adult,mmol/L,0.13,0.13,2.2,mmol K/L,chronic,14,humped,ANOVA,20.5,10.9,NA,NA,NA,NA,NA,NA,NA,Raising water K+ from 0.13 to 0.9 mmol/L caused hemolymph Na to increase from 20.5 to 23 mmol/L. Raising K+ still further to 2.2 mmol/L caused hemolymph Na to decrease to 10.9 mmol/L,NA,NA,constant,3,1,8,20,"Animals were able to maintain internal chemistry in ""freshwater"" spiked with a low level of KCl (increase from 0.13 t- 0.9 mmol/L K+) ; but spiking to a higher K+ concentration (2.2 mmol/L) caused the animals to lose that ability although without perishing like the invasive mussel.","In comparison to aboriginal species, D. polymorpha is more sensitive to the environmental potassium concentration",V. I. Martemyanov,2011,"INFLUENCE OF ENVIRONMENT MINERAL COMPOSITION ON THE INDICES OF WATER-SALT METABOLISM IN ESTABLISHED IN RYBINSK RESERVOIR, DREISSENA POLYMORPHA",Russian Journal of Biological Invasions,NA,1474,K+,mmol/L,NA,NA,5.0817,85.998
25,1,199,Yes,Carl,Investigate response by 4 bivalves (3 native + zebra mussel) to water K levels,Eurasia,Russia,temperate (cold),Lab,aquaria,invasiveness/osmoregulation,potassium,Yaroslavl Oblast,Rybinsk Reservoir,Mollusk,Mollusca,Anodonta piscinalis,Individual,Hemolymph concentrations Na,osmoregulation,Solute uptake/internal chemistry,who knows (negative),24.5,12.4,Adult,mmol/L,0.13,0.13,2.2,mmol K/L,chronic,14,negative,ANOVA,24.5,12.4,NA,NA,NA,NA,NA,NA,NA,Raising water K+ from 0.13 to 0.9 mmol/L caused hemolymph Na to increase from 21.2 to 23.5 mmol/L. Raising K+ still further to 2.2 mmol/L caused hemolymph Na to decrease to 12.6 mmol/L,NA,NA,constant,3,1,8,20,"Animals were able to maintain internal chemistry in ""freshwater"" (0.13 mmol/L K+) spiked with a low level of KCl (increase to 0.9 mmol/L K+) ; but spiking to a higher K+ concentration (2.2 mmol/L) caused large change in hemoglymph ion concentration.","In comparison to aboriginal species, D. polymorpha is more sensitive to the environmental potassium concentration",V. I. Martemyanov,2011,"INFLUENCE OF ENVIRONMENT MINERAL COMPOSITION ON THE INDICES OF WATER-SALT METABOLISM IN ESTABLISHED IN RYBINSK RESERVOIR, DREISSENA POLYMORPHA",Russian Journal of Biological Invasions,NA,1476,K+,mmol/L,NA,NA,5.0817,85.998
26,1,199,Yes,Carl,Investigate response by 4 bivalves (3 native + zebra mussel) to water K levels,Eurasia,Russia,temperate (cold),Lab,aquaria,invasiveness/osmoregulation,potassium,Yaroslavl Oblast,Rybinsk Reservoir,Mollusk,Mollusca,Dreissena polymorpha,Individual,Hemolymph concentrations Na,osmoregulation,Solute uptake/internal chemistry,who knows (negative),17.6,14,Adult,mmol/L,0.13,0.13,2.2,mmol K/L,chronic,14,negative,ANOVA,17.6,14,NA,NA,NA,NA,NA,NA,NA,Raising water K+ from 0.13 to 0.9 mmol/L caused hemolymph Na to increase from 24.5 to 25.2 mmol/L. Raising K+ still further to 2.2 mmol/L caused hemolymph Na to decrease to 12.4 mmol/L,NA,NA,constant,3,1,8,20,"Animals were able to maintain internal chemistry in ""freshwater"" spiked with a low level of KCl (increase from 0.13 t- 0.9 mmol/L K+) ; but spiking to a higher K+ concentration (2.2 mmol/L) caused the animals to lose that ability although without perishing like the invasive mussel.","In comparison to aboriginal species, D. polymorpha is more sensitive to the environmental potassium concentration",V. I. Martemyanov,2011,"INFLUENCE OF ENVIRONMENT MINERAL COMPOSITION ON THE INDICES OF WATER-SALT METABOLISM IN ESTABLISHED IN RYBINSK RESERVOIR, DREISSENA POLYMORPHA",Russian Journal of Biological Invasions,NA,1477,K+,mmol/L,NA,NA,5.0817,85.998
27,1,199,Yes,Carl,Investigate response by 4 bivalves (3 native + zebra mussel) to water K levels,Eurasia,Russia,temperate (cold),Lab,aquaria,invasiveness/osmoregulation,potassium,Yaroslavl Oblast,Rybinsk Reservoir,Mollusk,Mollusca,Anodonta piscinalis,Individual,Hemolymph concentrations Ca,osmoregulation,Solute uptake/internal chemistry,who knows (positive),0.66,2.22,Adult,mmol/L,0.13,0.13,2.2,mmol K/L,chronic,14,positive,ANOVA,0.66,2.22,NA,NA,NA,NA,NA,NA,NA,"Raising water K+ from 0.13 to 0.9 mmol/LHad little effect in internal Na, Ca, Mg.Raising K+ still further to 2.2 mmol/Lcaus ed all to die. Dreissena polymorpha",NA,NA,constant,3,1,8,20,"Other internal ion measures also responded, but authors emphasized Ca significance","In comparison to aboriginal species, D. polymorpha is more sensitive to the environmental potassium concentration",V. I. Martemyanov,2011,"INFLUENCE OF ENVIRONMENT MINERAL COMPOSITION ON THE INDICES OF WATER-SALT METABOLISM IN ESTABLISHED IN RYBINSK RESERVOIR, DREISSENA POLYMORPHA",Russian Journal of Biological Invasions,NA,1478,K+,mmol/L,NA,NA,5.0817,85.998
28,1,199,Yes,Carl,Investigate response by 4 bivalves (3 native + zebra mussel) to water K levels,Eurasia,Russia,temperate (cold),Lab,aquaria,invasiveness/osmoregulation,potassium,Yaroslavl Oblast,Rybinsk Reservoir,Mollusk,Mollusca,Dreissena polymorpha,Individual,Hemolymph concentrations Ca,osmoregulation,Solute uptake/internal chemistry,who knows (positive),0.52,1.14,Adult,mmol/L,0.13,0.13,2.2,mmol K/L,chronic,14,positive,ANOVA,0.52,1.14,NA,NA,NA,NA,NA,NA,NA,Raising water K+ from 0.13 to 0.9 mmol/Lcaused hemolymph Ca to increase from 0.66 to 1.17 mmol/LRaising K+ still further to 2.2 mmol/L caused hemolymph Ca to increase still further to 2.22 mmol/L Anodonta piscinalis,NA,NA,constant,3,1,8,20,"Other internal ion measures also responded, but authors emphasized Ca significance","In comparison to aboriginal species, D. polymorpha is more sensitive to the environmental potassium concentration",V. I. Martemyanov,2011,"INFLUENCE OF ENVIRONMENT MINERAL COMPOSITION ON THE INDICES OF WATER-SALT METABOLISM IN ESTABLISHED IN RYBINSK RESERVOIR, DREISSENA POLYMORPHA",Russian Journal of Biological Invasions,NA,1479,K+,mmol/L,NA,NA,5.0817,85.998
29,1,199,Yes,Carl,Investigate response by 4 bivalves (3 native + zebra mussel) to water K levels,Eurasia,Russia,temperate (cold),Lab,aquaria,invasiveness/osmoregulation,potassium,Yaroslavl Oblast,Rybinsk Reservoir,Mollusk,Mollusca,Unio pictorum,Individual,Hemolymph concentrations Ca,osmoregulation,Solute uptake/internal chemistry,who knows (positive),0.59,2.17,Adult,mmol/L,0.13,0.13,2.2,mmol K/L,chronic,14,positive,ANOVA,0.59,2.17,NA,NA,NA,NA,NA,NA,NA,Raising water K+ from 0.13 to 0.9 mmol/Lcaused hemolymph Ca to increase from 0.62 to 1.11 mmol/LRaising K+ still further to 2.2 mmol/L caused hemolymph Ca to increase still further to 2.2 mmol/L Unio tumidus,NA,NA,constant,3,1,8,20,"Other internal ion measures also responded, but authors emphasized Ca significance","In comparison to aboriginal species, D. polymorpha is more sensitive to the environmental potassium concentration",V. I. Martemyanov,2011,"INFLUENCE OF ENVIRONMENT MINERAL COMPOSITION ON THE INDICES OF WATER-SALT METABOLISM IN ESTABLISHED IN RYBINSK RESERVOIR, DREISSENA POLYMORPHA",Russian Journal of Biological Invasions,NA,1480,K+,mmol/L,NA,NA,5.0817,85.998
30,1,199,Yes,Carl,Investigate response by 4 bivalves (3 native + zebra mussel) to water K levels,Eurasia,Russia,temperate (cold),Lab,aquaria,invasiveness/osmoregulation,potassium,Yaroslavl Oblast,Rybinsk Reservoir,Mollusk,Mollusca,Unio tumidus,Individual,Hemolymph concentrations Ca,osmoregulation,Solute uptake/internal chemistry,who knows (positive),0.62,2.2,Adult,mmol/L,0.13,0.13,2.2,mmol K/L,chronic,14,positive,ANOVA,0.62,2.2,NA,NA,NA,NA,NA,NA,NA,Raising water K+ from 0.13 to 0.9 mmol/Lcaused hemolymph Ca to increase from 0.59 to 1.17 mmol/LRaising K+ still further to 2.2 mmol/L caused hemolymph Ca to increase still further to 2.17 mmol/L Unio pictorum,NA,NA,constant,3,1,8,20,"Other internal ion measures also responded, but authors emphasized Ca significance","In comparison to aboriginal species, D. polymorpha is more sensitive to the environmental potassium concentration",V. I. Martemyanov,2011,"INFLUENCE OF ENVIRONMENT MINERAL COMPOSITION ON THE INDICES OF WATER-SALT METABOLISM IN ESTABLISHED IN RYBINSK RESERVOIR, DREISSENA POLYMORPHA",Russian Journal of Biological Invasions,NA,1481,K+,mmol/L,NA,NA,5.0817,85.998
31,1,199,Yes,Carl,"Investigate zebra mussel response to varying wter Ca, Mg, K, Na levels: Ability to maintain internal concentrations in hemolymph and muscles",Eurasia,Russia,temperate (cold),Lab,aquaria,invasiveness/osmoregulation,K (as component of seawater solution),Yaroslavl Oblast,Rybinsk Reservoir,Mollusk,Mollusca,Dreissena polymorpha,Individual,Hemolymph concentrations K,osmoregulation,Solute uptake/internal chemistry,who knows (positive),0.24,0.97,Adult,mmol/L,NA,0.0015,0.88,mmol K/L,chronic,14,positive,ANOVA,0.24,0.97,NA,NA,NA,NA,NA,NA,p<0.05,"Hemolymph K = 0.24, 0.65, 0.6, 0.73, 0.97 mmol/L @ Water K = 0.0015, 0.05, 0.05, 0.1, 0.88 mmol/L, respectively (also data for muscle K)",NA,NA,constant,5,1,6 - 14 (varies),20,"Na, K, Ca, and Mg treatments applied together",D. Polymorpha unable to maintain internal K concentrations (and unlikley to survive)when water K concentrations are ≤0.0015 or ≥ 0.88 mmol/L,V. I. Martemyanov,2011,"INFLUENCE OF ENVIRONMENT MINERAL COMPOSITION ON THE INDICES OF WATER-SALT METABOLISM IN ESTABLISHED IN RYBINSK RESERVOIR, DREISSENA POLYMORPHA",Russian Journal of Biological Invasions,Methods are hard to understand,1482,K+,mmol/L,NA,NA,0.058635,34.3992
32,1,199,Yes,Carl,Investigate response by 4 bivalves (3 native + zebra mussel) to water K levels,Eurasia,Russia,temperate (cold),Lab,aquaria,invasiveness/osmoregulation,potassium,Yaroslavl Oblast,Rybinsk Reservoir,Mollusk,Mollusca,Anodonta piscinalis,Individual,Hemolymph concentrations Mg,osmoregulation,Solute uptake/internal chemistry,who knows (positive),5.2,14.5,Adult,mmol/L,0.13,0.13,2.2,mmol K/L,chronic,14,positive,ANOVA,5.2,14.5,NA,NA,NA,NA,NA,NA,NA,Raising water K+ from 0.13 to 0.9 mmol/L caused hemolymph Mg to increase from 5.2 to 5.9 mmol/L. Raising K+ still further to 2.2 mmol/L caused hemolymph Mg to increase to 15.7 mmol/L,NA,NA,constant,3,1,8,20,"Animals were able to maintain internal chemistry in ""freshwater"" spiked with a low level of KCl (increase from 0.13 t- 0.9 mmol/L K+) ; but spiking to a higher K+ concentration (2.2 mmol/L) caused the animals to lose that ability although without perishing like the invasive mussel.","In comparison to aboriginal species, D. polymorpha is more sensitive to the environmental potassium concentration",V. I. Martemyanov,2011,"INFLUENCE OF ENVIRONMENT MINERAL COMPOSITION ON THE INDICES OF WATER-SALT METABOLISM IN ESTABLISHED IN RYBINSK RESERVOIR, DREISSENA POLYMORPHA",Russian Journal of Biological Invasions,NA,1483,K+,mmol/L,NA,NA,5.0817,85.998
33,1,199,Yes,Carl,Investigate response by 4 bivalves (3 native + zebra mussel) to water K levels,Eurasia,Russia,temperate (cold),Lab,aquaria,invasiveness/osmoregulation,potassium,Yaroslavl Oblast,Rybinsk Reservoir,Mollusk,Mollusca,Dreissena polymorpha,Individual,Hemolymph concentrations Mg,osmoregulation,Solute uptake/internal chemistry,who knows (positive),5.2,6.9,Adult,mmol/L,0.13,0.13,2.2,mmol K/L,chronic,14,positive,ANOVA,5.2,6.9,NA,NA,NA,NA,NA,NA,NA,Raising water K+ from 0.13 to 0.9 mmol/L caused hemolymph Mg to increase from 5.2 to 6.6 mmol/L. Raising K+ still further to 2.2 mmol/L caused hemolymph Mg to increase to 14.5 mmol/L,NA,NA,constant,3,1,8,20,"Animals were able to maintain internal chemistry in ""freshwater"" spiked with a low level of KCl (increase from 0.13 t- 0.9 mmol/L K+) ; but spiking to a higher K+ concentration (2.2 mmol/L) caused the animals to lose that ability although without perishing like the invasive mussel.","In comparison to aboriginal species, D. polymorpha is more sensitive to the environmental potassium concentration",V. I. Martemyanov,2011,"INFLUENCE OF ENVIRONMENT MINERAL COMPOSITION ON THE INDICES OF WATER-SALT METABOLISM IN ESTABLISHED IN RYBINSK RESERVOIR, DREISSENA POLYMORPHA",Russian Journal of Biological Invasions,NA,1484,K+,mmol/L,NA,NA,5.0817,85.998
34,1,199,Yes,Carl,Investigate response by 4 bivalves (3 native + zebra mussel) to water K levels,Eurasia,Russia,temperate (cold),Lab,aquaria,invasiveness/osmoregulation,potassium,Yaroslavl Oblast,Rybinsk Reservoir,Mollusk,Mollusca,Unio pictorum,Individual,Hemolymph concentrations Mg,osmoregulation,Solute uptake/internal chemistry,who knows (positive),5.2,15.7,Adult,mmol/L,0.13,0.13,2.2,mmol K/L,chronic,14,positive,ANOVA,5.2,15.7,NA,NA,NA,NA,NA,NA,NA,Raising water K+ from 0.13 to 0.9 mmol/L caused hemolymph Mg to increase from 5.6 to 7.6 mmol/L. Raising K+ still further to 2.2 mmol/L caused hemolymph Mg to increase to 13.2 mmol/L,NA,NA,constant,3,1,8,20,"Animals were able to maintain internal chemistry in ""freshwater"" spiked with a low level of KCl (increase from 0.13 t- 0.9 mmol/L K+) ; but spiking to a higher K+ concentration (2.2 mmol/L) caused the animals to lose that ability although without perishing like the invasive mussel.","In comparison to aboriginal species, D. polymorpha is more sensitive to the environmental potassium concentration",V. I. Martemyanov,2011,"INFLUENCE OF ENVIRONMENT MINERAL COMPOSITION ON THE INDICES OF WATER-SALT METABOLISM IN ESTABLISHED IN RYBINSK RESERVOIR, DREISSENA POLYMORPHA",Russian Journal of Biological Invasions,NA,1486,K+,mmol/L,NA,NA,5.0817,85.998
35,1,199,Yes,Carl,Investigate response by 4 bivalves (3 native + zebra mussel) to water K levels,Eurasia,Russia,temperate (cold),Lab,aquaria,invasiveness/osmoregulation,potassium,Yaroslavl Oblast,Rybinsk Reservoir,Mollusk,Mollusca,Unio tumidus,Individual,Hemolymph concentrations Mg,osmoregulation,Solute uptake/internal chemistry,who knows (positive),5.6,13.2,Adult,mmol/L,0.13,0.13,2.2,mmol K/L,chronic,14,positive,ANOVA,5.6,13.2,NA,NA,NA,NA,NA,NA,NA,Raising water K+ from 0.13 to 0.9 mmol/L caused hemolymph Mg to increase from 5.6 to 7.6 mmol/L. Raising K+ still further to 2.2 mmol/L caused hemolymph Mg to increase to 13.2 mmol/L,NA,NA,constant,3,1,8,20,"Animals were able to maintain internal chemistry in ""freshwater"" spiked with a low level of KCl (increase from 0.13 t- 0.9 mmol/L K+) ; but spiking to a higher K+ concentration (2.2 mmol/L) caused the animals to lose that ability although without perishing like the invasive mussel.","In comparison to aboriginal species, D. polymorpha is more sensitive to the environmental potassium concentration",V. I. Martemyanov,2011,"INFLUENCE OF ENVIRONMENT MINERAL COMPOSITION ON THE INDICES OF WATER-SALT METABOLISM IN ESTABLISHED IN RYBINSK RESERVOIR, DREISSENA POLYMORPHA",Russian Journal of Biological Invasions,NA,1487,K+,mmol/L,NA,NA,5.0817,85.998
38,1,260,Yes,Carl,"Place snails in distilled water; measure cation concentrations daily; as snails discharge ions to water, call equilibrium concentration ""threshold concentrations … necessary for maintenance of the ionic balance""",Eurasia,Russia,continental,Lab,plastic bags 90 ml,invasiveness,K,Yaroslavl Oblast,NA,Mollusk,Mollusca,Lithoglyphus naticoides,individual,Initially distilled water equilibrium concentration of K after placing snails in the water,osmoregulation,Solute uptake/internal chemistry,who knows (negative),NA,NA,adult,mmol K/L,distilled water,NA,NA,mmol K/L,chronic,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0014 - 0.0025 mmol K/L,NA,NA,steady,NA,10,1,18-19,"Claims concentrations are thresholds ""necessary for the ion balance between ... Lithoglyphus naticoides and fresh water""",spreading of L. naticoides in different water bodies of the Earth is not limited by ion concentrations in the water,V. I. Martemyanov,2013,THRESHOLD CATION CONCENTRATIONS IN THE WATER DETERMINING THE RANGE LIMITS OF INVADED THE RYBINSK RESERVOIR GASTROPOD MOLLUSC LITHOGLYPHUS NATICOIDES,Russian Journal of Biological Invasions,so-called equilibrium concentrations were maintained as small amounts of freshwater were added daily,2131,K+,mmol/L,NA,NA,NA,NA
39,1,260,Yes,Carl,"Place snails in distilled water; after snails become immobilized, add freshwater until snails regain motor activity; record cation concentration when mobility is regained",Eurasia,Russia,continental,Lab,plastic bags 90 ml,invasiveness,K,Yaroslavl Oblast,NA,Mollusk,Mollusca,Lithoglyphus naticoides,individual,Water concentration K when snail regain motor activity,osmoregulation,Solute uptake/internal chemistry,who knows (negative),NA,NA,adult,mmol K/L,distilled water,NA,NA,mmol K/L,chronic,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0014 - 0.0025 mmol K/L,NA,NA,pulse additions,NA,10,1,18-19,"Concentrations are where motor activity of animals is observed, after raising concentrations from lower levels",spreading of L. naticoides in different water bodies of the Earth is not limited by ion concentrations in the water,V. I. Martemyanov,2013,THRESHOLD CATION CONCENTRATIONS IN THE WATER DETERMINING THE RANGE LIMITS OF INVADED THE RYBINSK RESERVOIR GASTROPOD MOLLUSC LITHOGLYPHUS NATICOIDES,Russian Journal of Biological Invasions,"Compares response values to data from mulitple water bodies to reach ""take home message"" conclusion",2135,K+,mmol/L,NA,NA,NA,NA
40,1,332,Yes,Carl,"Evaluate effects of test conditions (salt, substrate, mussel age, test duration) on salt toxicity to freshwater mussel",North Amercia,United States,temperate,Lab,beaker,toxicological,KCl,Missouri (mussel source),Perche Creek (mussel source),Mollusk,Mollusca,Lampsilis siliquoidea,individual,biomass,body size,Body size/Growth/Development,negative,6.99,0,juveniles,mg,1.1,1.1,103,mg K / L,chronic,28,negative,Toxicity Relationship Analysis Program,6.99,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,steady,6,4,10,23,At equivalent concentrations: KCl is more toxic than NaCl. Data from Table 1,Test conditiuons influence toxicity metrics,Wang N et al.,2018,Evaluation of chronic toxicity of sodium chloride or potassium chloride to a unionid mussel (Lampsilis siliquoidea) in water exposures using standard and refined toxicity testing methods.,Environ Toxicol Chem,"Biomass is a more sensitive indicator than survival. Other toxicity metrics were also calculated (NOECs, LOECs, MATCs, and metrics for length an dry-weight effects",2964,KCl,mg/L,NA,NA,1.1,103
41,1,332,Yes,Carl,"Evaluate effects of test conditions (salt, substrate, mussel age, test duration) on salt toxicity to freshwater mussel",North Amercia,United States,temperate,Lab,beaker,toxicological,KCl,Missouri (mussel source),Perche Creek (mussel source),Mollusk,Mollusca,Lampsilis siliquoidea,individual,biomass,body size,Body size/Growth/Development,negative,7.02,0,juveniles,mg,1.1,1.1,103,mg K / L,chronic,28,negative,Toxicity Relationship Analysis Program,7.02,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,steady,6,4,10,23,At equivalent concentrations: KCl is more toxic than NaCl. Data from Table 1,Test conditiuons influence toxicity metrics,Wang N et al.,2018,Evaluation of chronic toxicity of sodium chloride or potassium chloride to a unionid mussel (Lampsilis siliquoidea) in water exposures using standard and refined toxicity testing methods.,Environ Toxicol Chem,"Biomass is a more sensitive indicator than survival. Other toxicity metrics were also calculated (NOECs, LOECs, MATCs, and metrics for length an dry-weight effects",2965,KCl,mg/L,NA,NA,1.1,103
42,1,332,Yes,Carl,"Evaluate effects of test conditions (salt, temperature, substrate, mussel age, test duration) on salt toxicity to freshwater mussel",North Amercia,United States,temperate,Lab,beaker,toxicological,KCl,Missouri (mussel source),Perche Creek (mussel source),Mollusk,Mollusca,Lampsilis siliquoidea,population,survival,survival,Mortality/Survival,negative,100,0,juveniles,%,1.1,1.1,103,mg K / L,chronic,28,negative,Toxicity Relationship Analysis Program,100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,steady,6,4,10,23,At equivalent concentrations: KCl is more toxic than NaCl. Data from Table 1,Test conditiuons influence toxicity metrics.,Wang N et al.,2018,Evaluation of chronic toxicity of sodium chloride or potassium chloride to a unionid mussel (Lampsilis siliquoidea) in water exposures using standard and refined toxicity testing methods.,Environ Toxicol Chem,"Biomass is a more sensitive indicator than survival. Other toxicity metrics were also calculated (NOECs, LOECs, MATCs, and metrics for length an dry-weight effects",2970,KCl,mg/L,NA,NA,1.1,103
43,1,332,Yes,Carl,"Evaluate effects of test conditions (salt, substrate, mussel age, test duration) on salt toxicity to freshwater mussel",North Amercia,United States,temperate,Lab,beaker,toxicological,KCl,Missouri (mussel source),Perche Creek (mussel source),Mollusk,Mollusca,Lampsilis siliquoidea,population,survival,survival,Mortality/Survival,negative,100,0,juveniles,%,1.1,1.1,103,mg K / L,chronic,28,negative,Toxicity Relationship Analysis Program,100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,steady,6,4,10,23,At equivalent concentrations: KCl is more toxic than NaCl. Data from Table 1,Test conditiuons influence toxicity metrics,Wang N et al.,2018,Evaluation of chronic toxicity of sodium chloride or potassium chloride to a unionid mussel (Lampsilis siliquoidea) in water exposures using standard and refined toxicity testing methods.,Environ Toxicol Chem,"Biomass is a more sensitive indicator than survival. Other toxicity metrics were also calculated (NOECs, LOECs, MATCs, and metrics for length an dry-weight effects",2971,KCl,mg/L,NA,NA,1.1,103
44,1,332,Yes,Carl,"Evaluate effects of test conditions (salt, substrate, mussel age, test duration) on salt toxicity to freshwater mussel",North Amercia,United States,temperate,Lab,beaker,toxicological,KCl,Missouri (mussel source),Perche Creek (mussel source),Mollusk,Mollusca,Lampsilis siliquoidea,population,EC20 biomass,toxicological,Effect concentration,NA,NA,NA,juveniles,mg K/L,1.1,1.1,103,mg K / L,chronic,28,NA,Toxicity Relationship Analysis Program,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,steady,6,4,10,23,At equivalent concentrations: KCl is more toxic than NaCl. Data from Table 1,Test conditiuons influence toxicity metrics,Wang N et al.,2018,Evaluation of chronic toxicity of sodium chloride or potassium chloride to a unionid mussel (Lampsilis siliquoidea) in water exposures using standard and refined toxicity testing methods.,Environ Toxicol Chem,"Biomass is a more sensitive indicator than survival. Other toxicity metrics were also calculated (NOECs, LOECs, MATCs, and metrics for length an dry-weight effects",2985,KCl,mg/L,NA,NA,1.1,103
45,1,332,Yes,Carl,"Evaluate effects of test conditions (salt, substrate, mussel age, test duration) on salt toxicity to freshwater mussel",North Amercia,United States,temperate,Lab,beaker,toxicological,KCl,Missouri (mussel source),Perche Creek (mussel source),Mollusk,Mollusca,Lampsilis siliquoidea,population,EC20 biomass,toxicological,Effect concentration,NA,NA,NA,juveniles,mg K/L,1.1,1.1,103,mg K / L,chronic,28,NA,Toxicity Relationship Analysis Program,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.7,NA,NA,steady,6,4,10,23,At equivalent concentrations: KCl is more toxic than NaCl. Data from Table 1,Test conditiuons influence toxicity metrics,Wang N et al.,2018,Evaluation of chronic toxicity of sodium chloride or potassium chloride to a unionid mussel (Lampsilis siliquoidea) in water exposures using standard and refined toxicity testing methods.,Environ Toxicol Chem,"Biomass is a more sensitive indicator than survival. Other toxicity metrics were also calculated (NOECs, LOECs, MATCs, and metrics for length an dry-weight effects",2986,KCl,mg/L,NA,NA,1.1,103
